tool_name,url,normalized_category,normalized_subcategory,description,pricing,output_type,tags,tags_normalized,example_use_cases,integrations,example_prompt_1,example_prompt_2,example_prompt_3
Scribe (repeat),https://scribehow.com,Documentation,Process documentation,Automatically create step-by-step guides and screenshots.,Free / Paid,"text,images","guides,docs,onboarding","guides,docs,onboarding",SOP creation,Chrome extension,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use Scribe (repeat),"Generate 5 stylized concept art variations of a futuristic city for a game, using Scribe (repeat)",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using Scribe (repeat)
Tidio,https://tidio.com,Chatbots,Support,AI customer chatbots for websites.,Paid,text,"chatbot,support","chatbot,support",customer service,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Tidio,Draft a landing page headline and subheadline with 3 variations targeting conversion using Tidio,Summarize this 1200-word article into a 150-word executive summary using Tidio
Intercom,https://www.intercom.com,Chatbots,Support & automation,Customer messaging platform with automation and AI features.,Paid,text,"support,crm","support,crm",CX workflows,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Intercom,Draft a landing page headline and subheadline with 3 variations targeting conversion using Intercom,Summarize this 1200-word article into a 150-word executive summary using Intercom
Zendesk,https://www.zendesk.com,Chatbots,Helpdesk,Customer support platform with AI assistance.,Paid,text,"support,helpdesk","support,helpdesk",service automation,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Zendesk,Draft a landing page headline and subheadline with 3 variations targeting conversion using Zendesk,Summarize this 1200-word article into a 150-word executive summary using Zendesk
Freshdesk,https://www.freshdesk.com,Chatbots,Support,Support automation and ticketing with AI features.,Paid,text,"support,automation","support,automation",ticketing,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Freshdesk,Draft a landing page headline and subheadline with 3 variations targeting conversion using Freshdesk,Summarize this 1200-word article into a 150-word executive summary using Freshdesk
ManyChat,https://manychat.com,Chatbots,Social automation,WhatsApp/IG chatbots for marketing and automation.,Paid,text,"marketing,automation","marketing,automation",DM sales,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using ManyChat,Draft a landing page headline and subheadline with 3 variations targeting conversion using ManyChat,Summarize this 1200-word article into a 150-word executive summary using ManyChat
Writer.com,https://writer.com,writing,Enterprise writing assistant,AI writing assistant for teams with brand style controls.,Paid,text,"enterprise,writing,style","enterprise,writing,style",brand-aligned content,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Writer.com,Draft a landing page headline and subheadline with 3 variations targeting conversion using Writer.com,Summarize this 1200-word article into a 150-word executive summary using Writer.com
Rytr,https://rytr.me,writing,Copywriting,AI copywriting tool for marketers and creators.,Free / Paid,text,"copywriting,affordable","copywriting,affordable","ads,blog",Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using Rytr,Draft a landing page headline and subheadline with 3 variations targeting conversion using Rytr,Summarize this 1200-word article into a 150-word executive summary using Rytr
Ink for All,https://inkforall.com,seo,Content optimization,AI writing and SEO optimization platform.,Paid,text,"seo,writing","seo,writing",optimize content,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Ink for All,Draft a landing page headline and subheadline with 3 variations targeting conversion using Ink for All,Summarize this 1200-word article into a 150-word executive summary using Ink for All
GrowthBar,https://growthbarseo.com,seo,Content & SEO,AI SEO assistant for content creators.,Paid,text,"seo,content","seo,content",blog optimization,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using GrowthBar,Draft a landing page headline and subheadline with 3 variations targeting conversion using GrowthBar,Summarize this 1200-word article into a 150-word executive summary using GrowthBar
Peppertype.ai,https://peppertype.ai,marketing,Copywriting,AI content generation for marketers and teams.,Paid,text,"copy,marketing","copy,marketing","social,ads",Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using Peppertype.ai,Draft a landing page headline and subheadline with 3 variations targeting conversion using Peppertype.ai,Summarize this 1200-word article into a 150-word executive summary using Peppertype.ai
Snazzy AI (now Unavailable),https://example.com,marketing,Copywriting,Legacy tool (included for completeness).,Unknown,text,"legacy,copy","legacy,copy",nan,nan,Write 5 social media captions for a new coffee shop launch in a friendly tone using Snazzy AI (now Unavailable),Draft a landing page headline and subheadline with 3 variations targeting conversion using Snazzy AI (now Unavailable),Summarize this 1200-word article into a 150-word executive summary using Snazzy AI (now Unavailable)
IBM Watson,https://www.ibm.com/watson,enterprise,AI services,"Enterprise AI services for NLP, vision and data.",Paid,"text,image,data","enterprise,ml","enterprise,ml",customer insights,IBM Cloud,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use IBM Watson,"Generate 5 stylized concept art variations of a futuristic city for a game, using IBM Watson",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using IBM Watson
Salesforce Einstein,https://www.salesforce.com/products/einstein/overview/,enterprise,CRM AI,AI features inside Salesforce CRM for predictions and automation.,Paid,"text,data","crm,ai","crm,ai",sales predictions,Salesforce,Write 5 social media captions for a new coffee shop launch in a friendly tone using Salesforce Einstein,Draft a landing page headline and subheadline with 3 variations targeting conversion using Salesforce Einstein,Summarize this 1200-word article into a 150-word executive summary using Salesforce Einstein
Phrase (formerly Memsource),https://phrase.com,translation,Localization,Localization platform for enterprises.,Paid,text,"localization,translation","localization,translation",translate apps,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Phrase (formerly Memsource),Draft a landing page headline and subheadline with 3 variations targeting conversion using Phrase (formerly Memsource),Summarize this 1200-word article into a 150-word executive summary using Phrase (formerly Memsource)
Babylon Health (AI),https://www.babylonhealth.com,Health,Clinical AI,AI triage and telemedicine platform (example enterprise).,Paid,text,"health,triage","health,triage",medical triage,Healthcare,Write 5 social media captions for a new coffee shop launch in a friendly tone using Babylon Health (AI),Draft a landing page headline and subheadline with 3 variations targeting conversion using Babylon Health (AI),Summarize this 1200-word article into a 150-word executive summary using Babylon Health (AI)
Synthesis (voiceover),https://www.synthesys.io,audio tools,Synthetic voice & video,Synthetic voice and video generation for marketing.,Paid,"audio,video","synthetic,voice","synthetic,voice",ads and narration,Web,Create a 30-second promotional video script and visuals for a SaaS product using Synthesis (voiceover),Turn this blog post into a short social video clip with subtitles using Synthesis (voiceover),Generate a training video with a synthetic presenter explaining onboarding steps using Synthesis (voiceover)
Synthesys X,https://synthesys.io,video tools,Synthetic media,High-quality synthetic voices and avatars.,Paid,"audio,video","synthetic,avatars","synthetic,avatars","ads,personalization",Web,Create a 30-second promotional video script and visuals for a SaaS product using Synthesys X,Turn this blog post into a short social video clip with subtitles using Synthesys X,Generate a training video with a synthetic presenter explaining onboarding steps using Synthesys X
Speechmatics (repeat),https://www.speechmatics.com,transcription,ASR,Automatic speech recognition with broad language support.,Paid,text,"asr,transcription,multilingual","asr,transcription,multilingual",transcribe audio at scale,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Speechmatics (repeat),Draft a landing page headline and subheadline with 3 variations targeting conversion using Speechmatics (repeat),Summarize this 1200-word article into a 150-word executive summary using Speechmatics (repeat)
Browse AI,https://browse.ai,automation,Web automation & scraping,No-code web automation and data extraction with AI.,Paid,data,"web-automation,scraping","web-automation,scraping","monitoring,extracting data",Web,Use Browse AI to solve this task: No-code web automation and data extraction with AI.,How would I use Browse AI to automate a workflow for marketing?,Give me best practices for using Browse AI on a real-world project.
Helixa,https://helixa.ai,marketing,Audience intelligence,AI audience insights and segmentation for marketers.,Paid,data,"audience,insights","audience,insights",audience research,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Helixa,Draft a landing page headline and subheadline with 3 variations targeting conversion using Helixa,Summarize this 1200-word article into a 150-word executive summary using Helixa
Clarify (example),https://example.com,analytics,AI insights,Placeholder enterprise analytics entry.,Paid,data,"analytics,ai","analytics,ai",insights,Integrations,Use Clarify (example) to solve this task: Placeholder enterprise analytics entry.,How would I use Clarify (example) to automate a workflow for marketing?,Give me best practices for using Clarify (example) on a real-world project.
Plausible Analytics,https://plausible.io,analytics,Privacy-first analytics,Simple privacy-focused analytics platform.,Paid,data,"analytics,privacy","analytics,privacy",web analytics,Integrations,Use Plausible Analytics to solve this task: Simple privacy-focused analytics platform.,How would I use Plausible Analytics to automate a workflow for marketing?,Give me best practices for using Plausible Analytics on a real-world project.
Hugging Face Spaces,https://huggingface.co/spaces,model hub,Community apps,Deploy community ML demos and apps easily.,Free / Paid,models,"community,deploy","community,deploy",share model demos,Spaces,Use Hugging Face Spaces to solve this task: Deploy community ML demos and apps easily.,How would I use Hugging Face Spaces to automate a workflow for marketing?,Give me best practices for using Hugging Face Spaces on a real-world project.
ModelScope,https://modelscope.cn,model hub,Model repository,Model hub and tools (China-origin; useful for global coverage).,Free / Paid,models,"models,community","models,community",model hosting,API,Use ModelScope to solve this task: Model hub and tools (China-origin; useful for global coverage).,How would I use ModelScope to automate a workflow for marketing?,Give me best practices for using ModelScope on a real-world project.
OpenSearch,https://opensearch.org,search,Search & analytics,Open-source fork of Elasticsearch with plugins and ML integrations.,Free / Paid,search,"search,open-source","search,open-source","site search,analytics",Integrations,Find the top 5 recent papers on multimodal transformers and summarize findings using OpenSearch,Answer: What are the current best practices for retrieval-augmented generation? Use OpenSearch,Provide a concise comparison of top LLM providers and their trade-offs using OpenSearch
Replica Studios (repeat),https://replicastudios.com,audio tools,Synthetic voices,AI voice actor platform for games and media.,Paid,audio,"voice-actors,tts","voice-actors,tts","game dialogue,characters",API,Generate a 60-second podcast intro voiceover in an energetic tone using Replica Studios (repeat),Synthesise a 2-minute narration for an explainer video from this script using Replica Studios (repeat),Create a multivoice dialogue sample for a game scene using Replica Studios (repeat)
PlaygroundAI,https://playgroundai.com,generative art,Text-to-image,Web interface for multiple image models and prompts.,Free / Paid,image,"image-gen,playground","image-gen,playground",art creation,Web,Create a high-resolution marketing image for a travel brand featuring a sunset beach. Use PlaygroundAI,"Generate 5 stylized concept art variations of a futuristic city for a game, using PlaygroundAI",Produce a product mockup image for an eco-friendly water bottle with minimalistic design using PlaygroundAI
Promptable,https://promptable.ai,prompting & prompt ops,Prompt engineering,"Platform to manage, test and run prompts at scale.",Paid,text,"prompt-management,testing","prompt-management,testing",prompt ops,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Promptable,Draft a landing page headline and subheadline with 3 variations targeting conversion using Promptable,Summarize this 1200-word article into a 150-word executive summary using Promptable
Typestudio,https://typestudio.co,video tools,Editing & transcription,All-in-one video editor with text-based editing and AI tools.,Paid,video,"editing,transcription","editing,transcription","video editing,repurposing",Web,Create a 30-second promotional video script and visuals for a SaaS product using Typestudio,Turn this blog post into a short social video clip with subtitles using Typestudio,Generate a training video with a synthetic presenter explaining onboarding steps using Typestudio
Descript (repeat),https://www.descript.com,video tools,Editing & transcription,"Audio/video editor with transcription, overdub and multitrack editing.",Free / Paid,"audio,video,text","transcription,editing,overdub","transcription,editing,overdub","podcast editing, video captions",Integrations,Create a 30-second promotional video script and visuals for a SaaS product using Descript (repeat),Turn this blog post into a short social video clip with subtitles using Descript (repeat),Generate a training video with a synthetic presenter explaining onboarding steps using Descript (repeat)
Hour One,https://hourone.ai,video tools,Synthetic characters,Create video from text using synthetic characters.,Paid,video,"synthetic,avatars","synthetic,avatars","training,explainers",API,Create a 30-second promotional video script and visuals for a SaaS product using Hour One,Turn this blog post into a short social video clip with subtitles using Hour One,Generate a training video with a synthetic presenter explaining onboarding steps using Hour One
Elai.io,https://elai.io,video tools,AI presenters,Create video with AI presenters from text.,Paid,video,"presenters,avatars","presenters,avatars",marketing videos,API,Create a 30-second promotional video script and visuals for a SaaS product using Elai.io,Turn this blog post into a short social video clip with subtitles using Elai.io,Generate a training video with a synthetic presenter explaining onboarding steps using Elai.io
Pictory (repeat),https://pictory.ai,video tools,Text-to-video & summaries,Create short videos from long-form text and articles.,Paid,video,"video-from-text,social","video-from-text,social","social clips, summaries",YouTube,Create a 30-second promotional video script and visuals for a SaaS product using Pictory (repeat),Turn this blog post into a short social video clip with subtitles using Pictory (repeat),Generate a training video with a synthetic presenter explaining onboarding steps using Pictory (repeat)
Vocalmatic,https://vocalmatic.com,audio tools,Transcription & subtitles,Automatic transcription and subtitle generation for videos.,Paid,text,"transcription,subtitles","transcription,subtitles",video captions,Web,Write 5 social media captions for a new coffee shop launch in a friendly tone using Vocalmatic,Draft a landing page headline and subheadline with 3 variations targeting conversion using Vocalmatic,Summarize this 1200-word article into a 150-word executive summary using Vocalmatic
Kap (Kap Chat),https://getkap.co,productivity,Screen recording & AI,Screen recording with AI transcription features.,Paid,"video,text","screen-recording,transcription","screen-recording,transcription",tutorials,Web,Create a 30-second promotional video script and visuals for a SaaS product using Kap (Kap Chat),Turn this blog post into a short social video clip with subtitles using Kap (Kap Chat),Generate a training video with a synthetic presenter explaining onboarding steps using Kap (Kap Chat)
Quickchat AI,https://quickchat.ai,Chatbots,Multilingual AI chat,Customer support chatbots with multilingual support.,Paid,text,"chatbot,multilingual","chatbot,multilingual",customer support,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Quickchat AI,Draft a landing page headline and subheadline with 3 variations targeting conversion using Quickchat AI,Summarize this 1200-word article into a 150-word executive summary using Quickchat AI
Ada Support,https://ada.support,Chatbots,Customer service automation,AI customer service automation at scale.,Paid,text,"customer-service,automation","customer-service,automation",support bots,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Ada Support,Draft a landing page headline and subheadline with 3 variations targeting conversion using Ada Support,Summarize this 1200-word article into a 150-word executive summary using Ada Support
Kustomer (by Meta),https://kustomer.com,CRM,Customer service platform,Customer service platform with automation and AI features.,Paid,text,"crm,service","crm,service",support workflows,Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Kustomer (by Meta),Draft a landing page headline and subheadline with 3 variations targeting conversion using Kustomer (by Meta),Summarize this 1200-word article into a 150-word executive summary using Kustomer (by Meta)
Zendesk (repeat),https://www.zendesk.com,Chatbots,Helpdesk,Customer support platform with AI assistance.,Paid,text,"support,helpdesk","support,helpdesk",service automation,API,Write 5 social media captions for a new coffee shop launch in a friendly tone using Zendesk (repeat),Draft a landing page headline and subheadline with 3 variations targeting conversion using Zendesk (repeat),Summarize this 1200-word article into a 150-word executive summary using Zendesk (repeat)
Freshworks,https://www.freshworks.com,Customer Service,CRM & support,Customer engagement software with AI capabilities.,Paid,text,"crm,customer-support","crm,customer-support","ticketing,engagement",Integrations,Write 5 social media captions for a new coffee shop launch in a friendly tone using Freshworks,Draft a landing page headline and subheadline with 3 variations targeting conversion using Freshworks,Summarize this 1200-word article into a 150-word executive summary using Freshworks
